sID muEst muLow95CI muHigh95CI mu2Est mu2Low95CI mu2High95CI sigmaEst sigmaLow95CI sigmaHigh95CI sigmaPop sigmaPopLow95CI sigmaPopHigh95CI sigmaMCE sigmaMCELow95CI sigmaMCEHigh95CI
801 1.30988380196311 1.200835941747 1.42190255566099 1.26568531480062 1.15194436950918 1.37277401504296 0.148449020816528 0.10445560116086 0.226916695866239 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
909 1.33707540827668 1.25277650417377 1.4191814013832 1.25963276360337 1.17481487114985 1.34181856274168 0.115417289263862 0.100433605630917 0.156400607209288 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
718 0.786845279567383 0.698155720164554 0.878441463391489 0.687239463487383 0.596013607441485 0.773803788896282 0.122282213449146 0.100676955724848 0.175410840232692 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
245 0.774508688116372 0.61897271398587 0.933286462045111 0.444408484369515 0.288820740475664 0.607832233440612 0.224410660917315 0.152000421955155 0.34636868300614 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
91 1.23564847199713 1.08873575464747 1.37815677992077 1.07972235902118 0.924433861044895 1.22737318086313 0.21302578114146 0.146301713539539 0.322596948826495 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
516 1.26037645638504 1.09389571208255 1.42041847843757 1.03663603944517 0.873357258224284 1.1963452403195 0.236160211652298 0.159799048240559 0.35952070206188 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
190 0.946740907451642 0.816119578254068 1.07497963490341 0.651713670798466 0.522618989961591 0.783553245401713 0.184884791398816 0.125304079896895 0.281679697775148 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
892 1.30051402695174 1.11091705605824 1.4922628118285 1.2205309186292 1.0296237130209 1.40841917026576 0.27615630831885 0.187028114730509 0.425128719571138 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
313 0.915861240578429 0.793597839202593 1.04238762145614 0.831732859168961 0.704451594720294 0.958259708694841 0.172568714391722 0.117404970986866 0.264073105327705 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
112 1.75255078532881 1.61064356884651 1.89125694087991 1.72666046922804 1.57099736048493 1.86254206711481 0.186560474699993 0.12387815828019 0.291965080644709 0.365582455539377 0.229958857535164 0.598140018570037 0.201994876420495 0.11512530314293 0.348472564762387
