sID sidx dPrime metadPrime
801 1 1.39153210097102 1.30696230551423
909 2 1.38306388695732 1.39527208275297
718 3 0.745773856511072 0.652920751301735
245 4 0.638024662689633 0.525692725517828
91 5 1.31266509577864 1.07320101888208
516 6 1.06047141981243 0.71401210219158
190 7 0.957786163351725 0.820843266636049
892 8 1.51085338222961 1.56518813435805
313 9 0.663732559069621 0.719323080729375
112 10 1.74435628390931 1.81522403399851
801 1 1.2678076497242 1.31734646971944
909 2 1.38200461129679 1.33524676377705
718 3 0.773952364681621 0.684229869353346
245 4 0.954457391953276 0.521629033430879
91 5 1.36842207996596 1.44413984379286
516 6 1.49937843082671 0.950731374294598
190 7 1.28073560238118 0.775261820236493
892 8 1.01564341902403 1.00285116715521
313 9 1.02049855200367 0.92289774150719
112 10 1.3983796994541 1.64544949653972
801 1 1.20649454384824 1.12266474709945
909 2 1.41156217563222 1.19014464219353
718 3 0.722418481369886 0.662606564730739
245 4 0.908411721823741 0.624030137900136
91 5 0.82071966249873 0.854339947231623
516 6 1.25273075302508 0.926659194033227
190 7 0.724016399214536 0.41082017528906
892 8 1.25075082775394 1.25276330856927
313 9 0.89024688727038 0.748201422727974
112 10 1.72328228304513 1.65911743575794
801 1 1.54077527166993 1.4983167602454
909 2 1.317835155589 1.2919898343744
718 3 0.738340438890343 0.454168557518267
245 4 0.867113496278629 0.559202964647805
91 5 1.02747361948315 1.09954309398905
516 6 1.54038911459716 1.10459946455246
190 7 0.894607928049977 0.709781788248307
892 8 1.42478342491709 1.26570241726339
313 9 1.18542479882625 1.03103671761809
112 10 2.00479134236297 1.79542583245896
801 1 1.22718608154967 1.26583933768963
909 2 1.27787972160167 1.15093031802819
718 3 0.787476856721744 0.76871384987792
245 4 1.00431883661093 0.467402664769643
91 5 1.44179915285305 1.08040620729387
516 6 1.29075895527964 1.07829082113073
190 7 1.12175623566082 0.702813318704317
892 8 1.68043494145193 1.60342049275606
313 9 0.903995444302662 0.896244795389413
112 10 1.76233017403389 1.96809414156476
801 1 1.12745551872513 1.11871878481932
909 2 1.2861837998511 1.19355501334537
718 3 0.810095811718793 0.723161885817678
245 4 0.559165749993831 0.0118238675356688
91 5 1.3011936706482 1.03306116287642
516 6 1.22238409831128 1.54565367815681
190 7 0.856775227234403 0.432395219737857
892 8 1.22481358191059 1.25359190771281
313 9 1.01664739995315 0.857175797865806
112 10 1.9442414801732 1.93173868607257
801 1 1.36416885184192 1.37800142830853
909 2 1.28232581399551 1.33381138661315
718 3 0.878160222833937 0.890145338130733
245 4 0.591030222934429 0.146426995392511
91 5 1.38190551205632 1.11017627313593
516 6 1.06757166359823 0.978179224271179
190 7 0.852105069160933 0.602976883336755
892 8 0.89330794237743 0.973198392631334
313 9 0.638105650196697 0.727307081938796
112 10 1.65966300948537 1.61537977258757
