subject,session,d_prime,meta_d_prime,m_ratio
1,1,1.3915321009710229,0.6327142947173574,0.45468896784762924
1,2,1.2678076497242035,0.8100284395240753,0.6389206120504852
1,3,1.2064945438482364,0.5936647313413973,0.4920575350866019
1,4,1.5407752716699314,0.7133938189123108,0.4630096497713884
1,5,1.2271860815496745,0.695612243850636,0.5668351803438204
1,6,1.127455518725135,0.5809336545797714,0.5152608195458207
1,7,1.3641688518419155,0.7613027876753264,0.5580707891456451
2,1,1.3830638869573224,0.8495223540579149,0.6142321855621763
2,2,1.3820046112967908,0.8244545113620146,0.5965642260689678
2,3,1.4115621756322199,0.5212908779264301,0.3693006846779179
2,4,1.3178351555889987,0.7435950910373987,0.564255011625527
2,5,1.2778797216016688,0.6044652783278804,0.47302204433626643
2,6,1.2861837998510968,0.6724763537118874,0.5228462322334808
2,7,1.2823258139955063,0.8229526621667064,0.6417656520557188
3,1,0.7457738565110719,0.3663526234708811,0.49123822224712455
3,2,0.7739523646816207,0.3254805357055928,0.4205433700554493
3,3,0.7224184813698857,0.3646994208884846,0.5048312443459689
3,4,0.738340438890343,0.051087035269011025,0.06919170693913243
3,5,0.7874768567217436,0.452562310463141,0.5746991884271396
3,6,0.8100958117187932,0.2913272636250224,0.35962075029978086
3,7,0.8781602228339371,0.6620925812067326,0.7539541919469706
4,1,0.6380246626896326,0.32964759843781394,0.516669053274781
4,2,0.9544573919532761,0.12734829152040295,0.13342480512386987
4,3,0.9084117218237407,0.37191176971286344,0.40940881846637545
4,4,0.8671134962786288,0.06159573304889426,0.07103537577634678
4,5,1.004318836610928,0.11281973280622493,0.11233457811757759
4,6,0.5591657499938314,-0.30636969602016867,-0.5479049745510137
4,7,0.5910302229344286,-0.07835314203552712,-0.13257044901444903
5,1,1.312665095778636,0.6271035225074704,0.4777330672721896
5,2,1.3684220799659603,1.0563319398466473,0.7719342995933854
5,3,0.8207196624987299,0.6089190550002255,0.7419330653616062
5,4,1.0274736194831549,0.8194146408763446,0.7975043109024355
5,5,1.4417991528530527,0.4682675027460265,0.32477998188541873
5,6,1.3011936706481977,0.590465519397261,0.45378757422261123
5,7,1.3819055120563215,0.6745391719233151,0.4881224989974737
6,1,1.0604714198124268,0.2694464865857371,0.2540817994259535
6,2,1.4993784308267062,0.3935779992144658,0.2624941049721919
6,3,1.2527307530250782,0.4606775619583604,0.3677386867416818
6,4,1.5403891145971644,0.5141011487345832,0.3337475861539236
6,5,1.2907589552796388,0.6263254134934628,0.4852380926210746
6,6,1.222384098311284,1.2482255203662609,1.0211401817895673
6,7,1.0675716635982264,0.5906908352538043,0.5533032164444062
7,1,0.9577861633517245,0.41699416399486355,0.4353729255553384
7,2,1.2807356023811762,0.10828333119887168,0.08454776379882667
7,3,0.7240163992145362,-0.16368798548793217,-0.22608325676809585
7,4,0.8946079280499775,0.2135178553945622,0.23867199104749492
7,5,1.1217562356608193,0.1498130866922046,0.1335522655721639
7,6,0.8567752272344031,-0.023695777150188398,-0.0276569354446397
7,7,0.8521050691609332,0.20285872789544848,0.2380677398096026
8,1,1.5108533822296062,1.0670510923109542,0.7062572085825288
8,2,1.0156434190240278,0.6929367139899064,0.6822637758592252
8,3,1.2507508277539399,0.8597744264258904,0.6874066419526957
8,4,1.4247834249170919,0.6896869510340236,0.48406441215734697
8,5,1.6804349414519277,0.9147429731353729,0.5443489364396443
8,6,1.2248135819105876,0.8346993010535353,0.6814908924764593
8,7,0.8933079423774302,0.6505574225951622,0.7282566198435256
9,1,0.6637325590696215,0.5072847129751121,0.764290836788528
9,2,1.0204985520036653,0.5433480041269777,0.532433880538251
9,3,0.8902468872703804,0.3549878265030594,0.398752112002886
9,4,1.185424798826252,0.5087411298060195,0.42916356255559135
9,5,0.9039954443026621,0.5744940209558589,0.6355054381928008
9,6,1.016647399953153,0.4846720977215561,0.47673568805063565
9,7,0.6381056501966967,0.5677105904610011,0.8896811841205351
10,1,1.744356283909311,1.026586641795757,0.588518900218626
10,2,1.3983796994541007,1.1730781888736024,0.8388838806309534
10,3,1.7232822830451253,0.6143246153182695,0.3564851918704389
10,4,2.0047913423629646,0.6803476404190141,0.33936082326508676
10,5,1.7623301740338868,1.3663737780639926,0.7753222399503212
10,6,1.9442414801731953,1.0226285189373523,0.5259781407637982
10,7,1.6596630094853682,0.7905205369641292,0.4763138856780663
